,Incident.Date,State,City.Or.County,Address,X..Killed,X..Injured,Operations,fullad,long,lat
157,29-Jun-14,California,Los Angeles,1100 block of North Vermont Avenue,1,5,N/A,"1100 block of North Vermont Avenue ,  Los Angeles ,  California",-118.29176,34.091221
158,29-Jun-14,Missouri,Saint Louis,2800 block of Dayton,0,4,N/A,"2800 block of Dayton ,  Saint Louis ,  Missouri",-90.216016,38.641863
159,28-Jun-14,California,Antioch,5500 Cedar Point Way,0,7,N/A,"5500 Cedar Point Way ,  Antioch ,  California",-121.7575243,37.9570006
160,28-Jun-14,New York,Manhattan,Fifth Avenue and West 139th Street,0,4,N/A,"Fifth Avenue and West 139th Street ,  Manhattan ,  New York",-73.935758,40.8153398
161,27-Jun-14,California,San Diego,1600 block of Cathy Street,1,3,N/A,"1600 block of Cathy Street ,  San Diego ,  California",-117.0946296,32.5872545
162,26-Jun-14,Wisconsin,Milwaukee,24th and Locust,0,5,N/A,"24th and Locust ,  Milwaukee ,  Wisconsin",-87.9423791,43.0714769
163,26-Jun-14,Michigan,Detroit,Grand St,2,2,N/A,"Grand St ,  Detroit ,  Michigan",-83.1258155,42.3936105
164,25-Jun-14,Massachusetts,Lowell,Midland Street,0,5,N/A,"Midland Street ,  Lowell ,  Massachusetts",-71.326855,42.623511
165,24-Jun-14,Florida,Miami,Northwest 12th Avenue and 65th Street,2,7,N/A,"Northwest 12th Avenue and 65th Street ,  Miami ,  Florida",-80.2167252,25.8342871
166,22-Jun-14,California,Windsor,Windsor Avenue,1,3,N/A,"Windsor Avenue ,  Windsor ,  California",-122.818907,38.5482316
167,21-Jun-14,District of Columbia,Washington,Florida Avenue and U Street NW,0,4,N/A,"Florida Avenue and U Street NW ,  Washington ,  District of Columbia",-77.0296626,38.9204944
168,21-Jun-14,Tennessee,Memphis,2119 East Alcy Road,0,5,N/A,"2119 East Alcy Road ,  Memphis ,  Tennessee",-89.9918309,35.0782535
169,20-Jun-14,Maryland,Seat Pleasant,6600 block of Greig Street,0,4,N/A,"6600 block of Greig Street ,  Seat Pleasant ,  Maryland",-76.905854,38.900143
170,15-Jun-14,Illinois,Park Forest,200 Berry Street,0,4,N/A,"200 Berry Street ,  Park Forest ,  Illinois",-87.6787044,41.5015419
171,15-Jun-14,Indiana,Kokomo,5100 Clinton Drive,0,4,N/A,"5100 Clinton Drive ,  Kokomo ,  Indiana",-86.1250352,40.4367955
172,13-Jun-14,California,Los Angeles,8600 block of South Figueroa Street,3,1,N/A,"8600 block of South Figueroa Street ,  Los Angeles ,  California",-118.2824149,33.9597297
173,9-Jun-14,New Jersey,Paterson,Rosa Parks Boulevard and Godwin Avenue,0,6,N/A,"Rosa Parks Boulevard and Godwin Avenue ,  Paterson ,  New Jersey",-74.1590819,40.9206769
174,8-Jun-14,Alabama,Opp,611 Hardin Street,1,4,N/A,"611 Hardin Street ,  Opp ,  Alabama",-86.2531908,31.2725286
